,Show Number,Air Date, Round,Category, Value,Question,Answer,Document
71072,6005,2010,Jeopardy!,FRUITY LANGUAGE,$200,"You often find this fruity adjective in front of the word ""keen"" when describing something swell",peachy,"You often find this fruity adjective in front of the word ""keen"" when describing something swell peachy"
152386,5992,2010,Double Jeopardy!,ASIAN NATIONS,$1600,"Operation Baus Au, Tagalog for ""get it back"", was run by the U.S. military in this nation during World War II",the Philippines,"Operation Baus Au, Tagalog for ""get it back"", was run by the U.S. military in this nation during World War II the Philippines"
142785,3223,1998,Double Jeopardy!,"THE GREAT ""BEYOND""",$200,"Don't be ""mad"", it's where Mel Gibson took Max in the third installment","""Beyond Thunderdome""","Don't be ""mad"", it's where Mel Gibson took Max in the third installment ""Beyond Thunderdome"""
41222,4617,2004,Jeopardy!,PLANETARY DISTINCTIONS,$200,The heaviest,Jupiter,The heaviest Jupiter
48907,2889,1997,Jeopardy!,MEAT,$300,"To make steak au poivre, cover your meat with this seasoning before broiling or sauteeing",Pepper,"To make steak au poivre, cover your meat with this seasoning before broiling or sauteeing Pepper"
69218,3042,1997,Jeopardy!,PEOPLE,$100,"This former CBS anchorman is affectionately known as ""Uncle Walter""",Walter Cronkite,"This former CBS anchorman is affectionately known as ""Uncle Walter"" Walter Cronkite"
175908,4765,2005,Double Jeopardy!,IN THE NAVY,$400,Time is kept on Navy ships through the sounding of these; 8 of them signify the end of a 4-hour watch,bells,Time is kept on Navy ships through the sounding of these; 8 of them signify the end of a 4-hour watch bells
81345,1230,1989,Jeopardy!,HODGEPODGE,$300,"Plate pressure is compressing the Mediterranean, but this sea, bordering Greece, is expanding",Aegean Sea,"Plate pressure is compressing the Mediterranean, but this sea, bordering Greece, is expanding Aegean Sea"
187568,2624,1996,Double Jeopardy!,AUTHORS,$800,"From 1846 to 1849, he was surveyor of the port of Salem, Mass.",Nathaniel Hawthorne,"From 1846 to 1849, he was surveyor of the port of Salem, Mass. Nathaniel Hawthorne"
191104,3666,2000,Jeopardy!,LANGUAGES,$200,World Book says that only about 350 Gaulish words have become part of this modern language,French,World Book says that only about 350 Gaulish words have become part of this modern language French
31931,1856,1992,Double Jeopardy!,TELL,$800,"Tell, real or imagined, led the fight for Swiss freedom from this Austrian ruling house",Habsburg,"Tell, real or imagined, led the fight for Swiss freedom from this Austrian ruling house Habsburg"
